,Price,Width of the Display,Height of the Display,Hard Drive Capacity,SSD Capacity,Ram Size,Processor Speed,Screen Size (inch)
2489,352.0,1280.0,720.0,256.0,240.0,8.0,0.0,14.0
2490,294.0,1280.0,720.0,256.0,120.0,8.0,0.0,14.0
2491,44.0,1366.0,768.0,32.0,32.0,4.0,1.6,11.6
2492,550.0,1920.0,1080.0,12.0,512.0,12.0,0.0,15.6
2493,300.0,1920.0,1080.0,256.0,256.0,16.0,4.3,15.6
2494,175.0,1920.0,1080.0,256.0,128.0,4.0,2.5,14.0
2495,309.2,1280.0,720.0,256.0,960.0,8.0,1.99,14.1
2496,13.05,1920.0,1080.0,256.0,240.0,8.0,0.0,8.43
2497,334.5,1280.0,720.0,256.0,120.0,8.0,2.7,14.0
2498,349.8,1280.0,720.0,256.0,120.0,8.0,0.0,14.0
2499,340.2,1280.0,720.0,256.0,960.0,8.0,1.99,14.1
2500,119.0,1920.0,1080.0,256.0,128.0,12.0,2.4,14.0
2501,377.5,1280.0,720.0,256.0,480.0,8.0,3.0,14.0
2502,521.0,1920.0,1080.0,256.0,240.0,8.0,0.0,8.43
2503,260.8,1280.0,720.0,256.0,120.0,8.0,3.0,14.0
2504,509.5,1920.0,1080.0,256.0,512.0,16.0,4.5,8.43
2505,199.9,1366.0,768.0,128.0,128.0,128.0,0.0,11.6
2506,179.0,1366.0,768.0,1.0,240.0,6.0,2.2,15.6
2507,415.0,3000.0,2000.0,1.0,128.0,16.0,1.9,13.0
2508,209.0,1920.0,1080.0,256.0,256.0,16.0,2.7,15.6
2509,750.0,1920.0,1080.0,256.0,256.0,32.0,2.6,14.0
2510,140.0,1600.0,900.0,256.0,240.0,8.0,2.6,14.0
2511,90.0,1024.0,768.0,500.0,240.0,4.0,1.6,15.6
2512,310.0,1920.0,1080.0,256.0,256.0,8.0,1.2,14.0
2513,413.2,1920.0,1080.0,256.0,240.0,8.0,0.0,8.43
2514,105.0,1920.0,1080.0,256.0,240.0,4.0,2.8,14.0
2515,899.0,1920.0,1200.0,256.0,256.0,8.0,4.6,14.0
2516,45.0,1366.0,768.0,4.0,16.0,4.0,2.16,11.6
2517,100.0,1366.0,768.0,32.0,32.0,4.0,1.1,14.0
2518,1439.0,1920.0,1080.0,256.0,1.0,16.0,0.0,16.0
2519,105.0,1366.0,768.0,32.0,32.0,32.0,1.1,11.6
2520,458.5,1280.0,720.0,256.0,960.0,8.0,2.6,14.0
2521,423.0,1280.0,720.0,256.0,120.0,8.0,3.0,15.6
2522,319.5,1600.0,900.0,256.0,256.0,8.0,4.1,17.0
2523,150.0,1920.0,1080.0,256.0,256.0,16.0,2.5,15.6
2524,70.0,1920.0,1080.0,256.0,240.0,8.0,0.0,14.0
2525,315.0,1366.0,768.0,256.0,256.0,8.0,4.1,15.6
2526,146.5,1920.0,1080.0,256.0,240.0,8.0,0.0,8.43
2527,172.0,1366.0,768.0,128.0,128.0,6.0,1.1,14.0
2528,19.98,1920.0,1080.0,256.0,240.0,8.0,0.0,8.43
2529,342.0,1280.0,720.0,256.0,120.0,8.0,0.0,14.0
2530,260.8,1280.0,720.0,256.0,120.0,8.0,3.0,14.0
2531,650.0,1600.0,900.0,256.0,256.0,8.0,2.3,17.3
2532,298.8,1280.0,720.0,256.0,240.0,8.0,2.6,14.0
2533,680.0,1920.0,1080.0,256.0,1.0,40.0,2.0,15.6
2534,412.2,1920.0,1080.0,256.0,240.0,8.0,0.0,8.43
2535,238.2,1920.0,1080.0,256.0,240.0,8.0,0.0,8.43
2536,340.2,1280.0,720.0,256.0,960.0,8.0,1.99,14.1
2537,327.8,1920.0,1080.0,256.0,240.0,8.0,0.0,8.43
2538,45.0,1920.0,1080.0,80.0,240.0,2.0,0.0,15.4
2539,198.0,1920.0,1080.0,256.0,240.0,8.0,0.0,14.0
2540,350.0,1366.0,768.0,512.0,512.0,16.0,2.8,14.0
2541,87.0,1920.0,1080.0,256.0,240.0,8.0,0.0,8.43
2542,333.2,1920.0,1080.0,256.0,500.0,16.0,2.6,14.0
2543,399.0,1920.0,1080.0,512.0,512.0,8.0,1.6,15.6
2544,40.0,1920.0,1080.0,256.0,240.0,8.0,0.0,10.8
2545,24.98,1920.0,1080.0,256.0,240.0,4.0,1.86,15.6
2546,346.8,1280.0,720.0,256.0,120.0,8.0,3.0,14.0
2547,56.06,1920.0,1080.0,240.0,240.0,12.0,2.9,14.0
2548,22.0,1366.0,768.0,16.0,16.0,4.0,1.6,14.0
2549,330.0,1920.0,1080.0,256.0,256.0,8.0,1.2,15.6
2550,699.0,1920.0,1080.0,2.0,2.0,40.0,0.0,15.6
2551,365.8,1280.0,720.0,256.0,240.0,8.0,2.7,14.0
2552,337.0,1920.0,1080.0,256.0,240.0,8.0,0.0,8.43
2553,496.0,1920.0,1080.0,256.0,1.0,16.0,0.0,14.0
2554,289.0,1920.0,1080.0,256.0,240.0,8.0,0.0,8.43
2555,699.0,1920.0,1080.0,256.0,1.0,32.0,0.0,15.6
2556,500.0,1920.0,1080.0,256.0,240.0,8.0,0.0,11.6
2557,599.0,1920.0,1080.0,16.0,256.0,16.0,3.0,14.0
2558,291.0,1280.0,720.0,256.0,120.0,8.0,2.6,14.0
2559,110.0,1366.0,768.0,256.0,256.0,16.0,2.4,14.0
2560,600.0,1920.0,1080.0,1.0,1.0,32.0,3.1,17.3
2561,320.0,1920.0,1080.0,256.0,256.0,8.0,2.0,14.0
2562,490.0,1920.0,1080.0,1.0,240.0,8.0,0.0,15.6
2563,130.0,1920.0,1080.0,256.0,4.0,8.0,0.0,15.6
2564,150.0,1366.0,768.0,256.0,16.0,4.0,1.6,11.6
2565,425.0,1900.0,600.0,500.0,500.0,16.0,2.5,17.3
2566,318.2,1280.0,720.0,256.0,120.0,8.0,2.6,14.0
2567,396.0,1920.0,1080.0,256.0,120.0,8.0,2.8,12.5
2568,53.0,1366.0,768.0,16.0,16.0,4.0,2.16,11.6
2569,225.0,1920.0,1080.0,256.0,256.0,8.0,2.4,10.1
2570,243.0,1920.0,1080.0,256.0,256.0,8.0,2.1,14.0
2571,740.0,1920.0,1080.0,256.0,512.0,16.0,1.6,15.6
2572,749.5,1920.0,1080.0,512.0,512.0,16.0,1.8,14.0
2573,260.0,1920.0,1080.0,512.0,512.0,16.0,2.4,14.0
2574,149.0,1920.0,1080.0,256.0,256.0,16.0,2.6,13.3
2575,450.0,1920.0,1080.0,256.0,1.0,16.0,2.6,11.6
2576,70.0,1920.0,1080.0,256.0,240.0,8.0,0.0,11.6
2577,670.0,1920.0,1080.0,256.0,1.0,16.0,2.1,17.3
2578,140.0,1920.0,1080.0,512.0,512.0,32.0,3.9,14.0
2579,199.0,1920.0,1080.0,256.0,256.0,16.0,1.9,14.0
2580,253.0,1920.0,1080.0,512.0,512.0,8.0,2.9,17.3
2581,380.2,1280.0,720.0,256.0,960.0,8.0,3.0,14.0
2582,477.5,1920.0,1080.0,256.0,240.0,8.0,0.0,8.43
2583,4.42,1920.0,1080.0,256.0,240.0,8.0,0.0,15.6
2584,700.0,1920.0,1080.0,512.0,512.0,16.0,2.6,8.43
2585,119.9,1920.0,1080.0,256.0,240.0,8.0,0.0,14.1
2586,180.0,1920.0,1080.0,512.0,512.0,12.0,2.6,14.0
2587,30.0,1920.0,1080.0,160.0,250.0,2.0,2.1,15.4
2588,565.0,1920.0,1080.0,256.0,256.0,8.0,1.49,15.6
2589,189.0,1920.0,1080.0,256.0,512.0,8.0,2.7,14.0
