,BRAND,PRICE,GPU,OPERATING_SYSTEM,TOUCHSCREEN,BLUETOOTH,HARD_DRIVE,SSD_CAPACITY,DISPLAY,WEBCAM(BUILT-IN),COLOR
293,other,229.6,intel,unknown,NO,NO,256,240,NO,NO,other
294,other,199.9,other,unknown,NO,NO,256,240,NO,NO,other
295,lenovo,542.5,other,unknown,NO,NO,256,240,NO,NO,black
296,other,548.5,intel,unknown,NO,NO,256,240,NO,NO,other
297,other,655.5,intel,unknown,NO,NO,256,240,NO,NO,other
298,lenovo,464.5,intel,windows,NO,NO,256,120,NO,NO,other
299,dell,334.2,intel,windows,NO,YES,256,240,NO,YES,black
300,other,112.2,other,unknown,NO,YES,256,240,NO,NO,other
301,other,114.5,other,unknown,NO,NO,256,240,NO,NO,other
302,other,123.2,other,unknown,NO,NO,256,240,NO,NO,other
303,other,457.2,intel,unknown,NO,NO,256,240,NO,NO,black
304,other,89.6,other,unknown,NO,NO,256,240,NO,NO,other
305,other,58.56,other,unknown,NO,NO,256,240,NO,NO,other
306,other,130.4,other,unknown,NO,NO,256,240,NO,NO,other
307,other,318.0,other,unknown,NO,NO,256,240,NO,NO,other
308,other,88.25,other,unknown,NO,NO,256,240,NO,NO,other
309,lg,103.25,other,unknown,NO,NO,256,240,NO,NO,other
310,other,2506.0,intel,unknown,NO,NO,256,240,NO,NO,other
311,other,309.2,other,unknown,NO,NO,256,240,NO,NO,other
312,other,526.0,intel,unknown,NO,NO,256,240,NO,NO,other
313,other,543.5,nvidia,unknown,NO,NO,256,240,NO,NO,black
314,other,2288.0,intel,unknown,NO,NO,256,240,NO,NO,black
315,other,377.8,intel,windows,NO,NO,256,240,NO,NO,other
316,other,382.5,intel,unknown,NO,NO,256,240,NO,YES,other
317,dell,307.2,intel,windows,NO,NO,256,120,NO,NO,other
318,lg,86.1,other,unknown,NO,NO,256,240,NO,NO,other
319,other,1077.0,intel,windows,NO,NO,16,512,NO,NO,other
320,other,58.62,other,unknown,NO,NO,256,240,NO,NO,other
321,other,53.16,other,unknown,NO,NO,256,240,NO,NO,other
322,other,85.25,other,unknown,NO,NO,256,240,NO,NO,other
323,other,363.2,intel,unknown,NO,NO,256,240,NO,NO,other
324,auo,91.7,other,unknown,NO,NO,256,240,NO,NO,other
325,lenovo,449.8,intel,windows,NO,NO,256,960,NO,NO,other
326,other,289.0,intel,unknown,NO,YES,256,240,NO,NO,other
327,other,313.2,nvidia,unknown,NO,NO,256,240,NO,NO,black
328,other,22.06,other,unknown,NO,NO,256,240,NO,NO,other
329,other,374.5,intel,unknown,NO,NO,256,240,NO,NO,black
330,other,59.22,other,unknown,NO,NO,256,240,NO,NO,other
331,dell,272.0,intel,windows,NO,NO,256,120,NO,NO,other
332,other,39.12,other,unknown,NO,NO,256,240,NO,NO,other
333,other,45.1,other,unknown,NO,NO,256,240,NO,NO,other
334,other,27.94,other,unknown,NO,NO,256,240,NO,NO,other
335,dell,469.0,intel,windows,NO,NO,256,960,NO,NO,other
336,hp,200.0,other,unknown,NO,NO,256,240,NO,NO,other
337,other,107.6,other,unknown,NO,NO,256,240,NO,NO,other
338,dell,652.0,intel,windows,NO,NO,256,960,NO,NO,other
339,dell,422.5,intel,windows,YES,YES,256,480,NO,YES,other
340,other,79.4,other,unknown,NO,NO,256,240,NO,NO,other
341,other,27.58,other,unknown,NO,NO,256,240,NO,NO,other
342,dell,235.0,other,unknown,NO,NO,256,256,NO,NO,other
343,other,571.5,intel,unknown,NO,NO,256,240,NO,NO,black
344,other,526.5,other,unknown,NO,NO,256,240,NO,NO,other
345,dell,214.8,intel,windows,NO,NO,256,256,NO,NO,black
346,other,103.5,other,unknown,NO,YES,256,240,NO,NO,other
347,other,485.5,other,unknown,NO,NO,256,240,NO,NO,other
348,auo,60.06,other,unknown,NO,NO,256,240,NO,NO,other
349,acer,93.9,other,unknown,NO,NO,256,240,NO,NO,other
350,samsung,113.25,other,unknown,NO,NO,256,240,NO,NO,other
351,other,32.44,other,unknown,NO,NO,256,240,NO,NO,other
352,other,46.06,other,unknown,NO,NO,256,240,NO,NO,other
353,other,336.2,intel,unknown,NO,NO,256,240,NO,NO,other
354,other,426.0,intel,unknown,NO,NO,256,240,NO,NO,black
355,other,303.8,intel,unknown,NO,NO,256,240,NO,NO,black
356,other,63.7,other,unknown,NO,NO,256,240,NO,NO,other
357,other,460.0,intel,unknown,NO,NO,256,240,NO,NO,other
358,other,380.0,other,windows,NO,NO,256,240,NO,NO,other
359,other,394.0,intel,windows,NO,NO,256,240,NO,NO,black
360,other,75.94,other,unknown,NO,YES,256,240,NO,YES,other
361,other,203.8,other,unknown,NO,NO,256,240,NO,NO,other
362,other,81.6,other,unknown,NO,NO,256,240,NO,NO,other
363,other,85.25,other,unknown,NO,NO,256,240,NO,NO,other
364,lenovo,319.5,other,windows,NO,NO,256,240,NO,NO,black
365,other,3156.0,intel,unknown,NO,YES,256,240,NO,NO,black
366,other,339.5,intel,unknown,NO,NO,256,240,NO,NO,other
367,other,440.2,other,unknown,NO,NO,256,240,NO,NO,other
368,dell,381.5,intel,windows,NO,NO,256,480,NO,NO,black
369,dell,314.5,intel,windows,NO,NO,256,240,NO,NO,other
370,dell,408.2,intel,windows,NO,YES,256,480,NO,NO,black
371,lg,91.3,other,unknown,NO,NO,256,240,NO,NO,other
372,other,481.0,intel,unknown,NO,NO,256,240,NO,NO,other
373,other,222.9,other,unknown,NO,NO,256,240,NO,NO,other
374,other,128.5,other,unknown,NO,NO,256,240,NO,NO,other
375,other,408.5,intel,unknown,NO,NO,256,240,NO,NO,other
376,other,488.8,intel,unknown,NO,NO,256,240,NO,NO,black
377,other,28.98,other,unknown,NO,NO,256,240,NO,NO,other
378,other,94.4,other,unknown,NO,NO,256,240,NO,NO,other
379,other,125.94,other,unknown,NO,NO,256,240,NO,NO,other
380,other,361.8,intel,unknown,NO,NO,256,240,NO,NO,other
381,other,130.0,other,unknown,NO,NO,256,240,NO,NO,other
382,other,2130.0,intel,windows,NO,NO,256,120,NO,NO,other
383,dell,462.8,intel,windows,NO,YES,256,960,NO,YES,black
384,other,105.0,other,unknown,NO,YES,256,240,NO,NO,other
385,other,2270.0,intel,unknown,NO,NO,256,240,NO,NO,other
386,other,26.52,other,unknown,NO,NO,256,240,NO,NO,other
387,lenovo,1701.0,intel,windows,NO,NO,256,4,NO,NO,black
388,dell,477.8,intel,windows,NO,YES,256,960,NO,YES,black
389,other,117.44,other,unknown,NO,NO,256,240,NO,NO,other
390,samsung,55.12,other,unknown,NO,NO,256,240,NO,NO,other
391,other,104.7,other,unknown,NO,NO,256,240,NO,NO,other
392,other,28.8,other,unknown,NO,NO,256,240,NO,NO,other
393,auo,50.78,other,unknown,NO,NO,256,240,NO,NO,other
