,Touchscreen,Bluetooth,Webcam(Built-In),Microphone(Built-In),Display,WiFi
377,NO,NO,NO,NO,NO,NO
378,NO,NO,NO,NO,NO,NO
379,NO,NO,NO,NO,NO,NO
380,NO,NO,NO,NO,NO,NO
381,NO,NO,NO,NO,NO,NO
382,NO,NO,NO,NO,NO,NO
383,NO,YES,YES,NO,NO,YES
384,NO,YES,NO,NO,NO,YES
385,NO,NO,NO,NO,NO,NO
386,NO,NO,NO,NO,NO,NO
387,NO,NO,NO,NO,NO,NO
388,NO,YES,YES,NO,NO,YES
389,NO,NO,NO,NO,NO,YES
390,NO,NO,NO,NO,NO,NO
391,NO,NO,NO,NO,NO,NO
392,NO,NO,NO,NO,NO,NO
393,NO,NO,NO,NO,NO,NO
394,NO,NO,NO,NO,NO,NO
395,NO,NO,NO,NO,NO,NO
396,NO,NO,NO,NO,NO,NO
397,NO,YES,YES,YES,YES,YES
398,NO,YES,YES,NO,NO,YES
399,NO,NO,NO,NO,NO,NO
400,NO,NO,NO,NO,NO,NO
401,NO,NO,NO,NO,NO,NO
402,NO,NO,NO,NO,NO,NO
403,NO,NO,NO,NO,NO,NO
404,NO,NO,NO,NO,NO,YES
405,NO,YES,NO,NO,NO,YES
406,NO,NO,YES,NO,NO,NO
407,NO,NO,NO,NO,NO,NO
408,NO,NO,NO,NO,NO,NO
409,NO,NO,NO,NO,NO,NO
410,NO,NO,NO,NO,NO,NO
411,NO,NO,NO,NO,NO,NO
412,NO,NO,NO,NO,NO,NO
413,NO,NO,NO,NO,NO,NO
414,NO,NO,NO,NO,NO,NO
415,NO,NO,NO,NO,NO,NO
416,NO,NO,NO,NO,NO,NO
417,NO,NO,NO,NO,NO,NO
418,NO,NO,NO,NO,NO,NO
419,NO,NO,NO,NO,NO,NO
420,NO,NO,NO,NO,NO,NO
421,NO,NO,NO,NO,NO,NO
422,NO,NO,NO,NO,NO,NO
423,NO,NO,NO,NO,NO,NO
424,NO,NO,NO,NO,NO,NO
425,NO,YES,YES,NO,NO,YES
426,NO,NO,NO,NO,NO,NO
427,NO,NO,NO,NO,NO,NO
428,NO,NO,NO,NO,NO,NO
429,NO,NO,NO,NO,NO,NO
430,NO,NO,NO,NO,NO,NO
431,NO,NO,NO,NO,NO,NO
432,NO,NO,YES,NO,NO,NO
433,NO,NO,NO,NO,NO,NO
434,NO,NO,NO,NO,NO,NO
435,NO,NO,NO,NO,NO,NO
