,INFO_ID,BRAND,CURRENCY,COLOR,CONDITIONS,PRICE
2492,I2492,hp,$,silver,Used,300.0
2493,I2493,samsung,$,silver,Undefined,175.0
2494,I2494,lenovo,$,other,Used,309.2
2495,I2495,other,$,other,Used,13.05
2496,I2496,dell,$,other,Used,334.5
2497,I2497,dell,$,other,Used,349.8
2498,I2498,lenovo,$,other,Used,340.2
2499,I2499,lenovo,$,black,Used,119.0
2500,I2500,dell,$,other,Used,377.5
2501,I2501,other,$,other,Used,521.0
2502,I2502,dell,$,other,Used,260.8
2503,I2503,hp,$,black,Certified - Refurbished,509.5
2504,I2504,asus,$,black,Undefined,199.9
2505,I2505,dell,$,black,Very Good - Refurbished,179.0
2506,I2506,hp,$,other,Used,415.0
2507,I2507,dell,$,other,Used,209.0
2508,I2508,dell,$,other,Open box,750.0
2509,I2509,dell,$,multicolor,Very Good - Refurbished,140.0
2510,I2510,dell,$,black,Used,90.0
2511,I2511,lg,$,white,Used,310.0
2512,I2512,other,$,other,Used,413.2
2513,I2513,other,$,other,Used,105.0
2514,I2514,lenovo,$,other,Open box,899.0
2515,I2515,dell,$,black,Used,45.0
2516,I2516,asus,$,silver,Undefined,100.0
2517,I2517,other,$,silver,New,1439.0
2518,I2518,asus,$,gray,Undefined,105.0
2519,I2519,dell,$,other,Used,458.5
2520,I2520,other,$,other,Used,423.0
2521,I2521,hp,$,silver,Certified - Refurbished,319.5
2522,I2522,lenovo,$,black,Used,150.0
2523,I2523,other,$,other,New,70.0
2524,I2524,hp,$,gray,New,315.0
2525,I2525,other,$,other,Undefined,146.5
2526,I2526,other,$,gray,New,172.0
2527,I2527,hp,$,black,Undefined,19.98
2528,I2528,dell,$,other,Used,342.0
2529,I2529,dell,$,other,Used,260.8
2530,I2530,hp,$,gray,New,650.0
2531,I2531,dell,$,other,Used,298.8
2532,I2532,lenovo,$,silver,Certified - Refurbished,680.0
2533,I2533,other,$,other,Used,412.2
2534,I2534,other,$,other,Used,238.2
2535,I2535,lenovo,$,other,Used,340.2
2536,I2536,other,$,other,Used,327.8
2537,I2537,dell,$,other,Used,45.0
2538,I2538,dell,$,other,Undefined,198.0
2539,I2539,dell,$,gray,Used,350.0
2540,I2540,other,$,other,Used,87.0
2541,I2541,other,$,blue,Used,333.2
2542,I2542,dell,$,silver,Undefined,399.0
2543,I2543,other,$,other,Used,40.0
2544,I2544,other,$,silver,For parts or not working,24.98
2545,I2545,other,$,other,Used,346.8
2546,I2546,lenovo,$,black,Undefined,56.06
2547,I2547,hp,$,other,Undefined,22.0
2548,I2548,hp,$,silver,New,330.0
2549,I2549,lenovo,$,black,New,699.0
2550,I2550,dell,$,other,Used,365.8
2551,I2551,other,$,other,Used,337.0
2552,I2552,dell,$,other,Used,496.0
2553,I2553,other,$,other,New,289.0
2554,I2554,dell,$,silver,Used,699.0
2555,I2555,other,$,other,Open box,500.0
2556,I2556,dell,$,other,New,599.0
2557,I2557,dell,$,other,Used,291.0
2558,I2558,hp,$,silver,Used,110.0
2559,I2559,dell,$,other,Excellent - Refurbished,600.0
2560,I2560,hp,$,silver,Undefined,320.0
2561,I2561,hp,$,multicolor,Used,490.0
2562,I2562,hp,$,other,Used,130.0
2563,I2563,hp,$,gray,Used,150.0
2564,I2564,dell,$,gray,Used,425.0
2565,I2565,dell,$,other,Used,318.2
2566,I2566,dell,$,other,Used,396.0
2567,I2567,dell,$,black,Very Good - Refurbished,53.0
2568,I2568,other,$,other,Used,225.0
2569,I2569,hp,$,silver,Used,243.0
2570,I2570,dell,$,gray,Open box,740.0
2571,I2571,hp,$,silver,Undefined,749.5
2572,I2572,hp,$,other,Very Good - Refurbished,260.0
2573,I2573,lenovo,$,black,Used,149.0
2574,I2574,dell,$,other,Good - Refurbished,450.0
2575,I2575,other,$,black,Undefined,70.0
2576,I2576,hp,$,silver,Open box,670.0
