,SCREEN_ID,SCREEN_SIZE_INCH,COLOR,WIDTH_DISPLAY,HEIGHT_DISPLAY
3896,S3896,8.43,other,1920,1080
3897,S3897,8.43,other,1920,1080
3898,S3898,8.43,other,1920,1080
3899,S3899,8.43,other,1920,1080
3900,S3900,13.3,other,1280,720
3901,S3901,15.6,other,1920,1080
3902,S3902,8.43,other,1920,1080
3903,S3903,8.43,other,1920,1080
3904,S3904,12.5,other,1920,1080
3905,S3905,8.43,other,1920,1080
3906,S3906,8.43,other,1920,1080
3907,S3907,14.0,other,1920,1080
3908,S3908,8.43,other,1920,1080
3909,S3909,14.0,other,1280,720
3910,S3910,14.0,other,1280,720
3911,S3911,13.3,black,1280,720
3912,S3912,8.43,black,1920,1080
3913,S3913,14.0,other,1280,720
3914,S3914,8.43,black,1920,1080
3915,S3915,8.43,other,1920,1080
3916,S3916,14.0,black,1280,720
3917,S3917,13.3,other,1280,720
3918,S3918,8.43,black,1920,1080
3919,S3919,8.43,other,1920,1080
3920,S3920,15.6,gray,1920,1080
3921,S3921,8.43,other,1920,1080
3922,S3922,8.43,other,1920,1080
3923,S3923,14.0,black,1920,1080
3924,S3924,10.8,other,1920,1080
3925,S3925,8.43,other,1920,1080
3926,S3926,14.0,black,1280,720
3927,S3927,8.43,other,1920,1080
3928,S3928,8.43,other,1920,1080
3929,S3929,8.43,other,1920,1080
3930,S3930,12.5,black,1280,720
3931,S3931,8.43,other,1920,1080
3932,S3932,14.0,other,1280,720
3933,S3933,8.43,black,1920,1080
3934,S3934,12.5,other,1920,1080
3935,S3935,15.6,gray,1920,1080
3936,S3936,8.43,other,1920,1080
3937,S3937,8.43,other,1920,1080
3938,S3938,12.5,other,1920,1080
3939,S3939,8.43,black,1920,1080
3940,S3940,14.0,black,1280,720
3941,S3941,8.43,other,1920,1080
3942,S3942,8.43,other,1920,1080
3943,S3943,8.43,other,1920,1080
3944,S3944,14.0,other,1280,720
3945,S3945,12.5,black,1920,1080
3946,S3946,8.43,black,1920,1080
3947,S3947,8.43,other,1920,1080
3948,S3948,8.43,other,1920,1080
3949,S3949,14.0,other,1280,720
3950,S3950,8.43,other,1920,1080
3951,S3951,8.43,other,1920,1080
3952,S3952,15.6,other,1280,720
3953,S3953,8.43,other,1920,1080
3954,S3954,8.43,other,1920,1080
3955,S3955,8.43,other,1920,1080
3956,S3956,8.43,other,1920,1080
3957,S3957,14.0,other,1280,720
3958,S3958,8.43,black,1920,1080
3959,S3959,14.0,other,1280,720
3960,S3960,14.0,other,1920,1080
3961,S3961,8.43,other,1920,1080
3962,S3962,8.43,other,1920,1080
3963,S3963,14.0,black,1366,768
3964,S3964,8.43,other,1920,1080
3965,S3965,8.43,other,1920,1080
3966,S3966,8.43,other,1920,1080
3967,S3967,8.43,other,1920,1080
3968,S3968,8.43,black,1920,1080
3969,S3969,8.43,other,1920,1080
3970,S3970,8.43,other,1920,1080
3971,S3971,8.43,other,1920,1080
3972,S3972,12.5,other,1920,1080
3973,S3973,11.6,black,1366,768
3974,S3974,13.3,black,1920,1080
3975,S3975,11.6,other,1920,1080
