,Price,Width of the Display,Height of the Display,Hard Drive Capacity,SSD Capacity,Ram Size,Processor Speed
3272,93.9,,,,,,
3273,8.7,,,,,,
3274,9.79,,,,,,
3275,103.75,,,,,,
3276,90.4,,,,,,
3277,152.2,,,,,,
3278,127.6,,,,,,
3279,79.56,,,,,,
3280,334.8,1280,720,,240,,2.6
3281,337.8,1280,720,,240,,2.3
3282,92.75,,,,,,
3283,337.5,,,,,,
3284,324,1280,720,,240,,2.7
3285,131.5,,,,,,
3286,121.06,,,,,,
3287,206.4,,,,,,
3288,295.5,,,,,,
3289,47.2,,,,,,
3290,81.8,,,,,,
3291,2730,1920,1080,,4,,1.99
3292,292,,,,,,
3293,342.2,,,,,,
3294,50.7,,,,,,
3295,476.5,,,,,,
3296,372.8,,,,,,
3297,376.8,,,,,,
3298,60.9,,,,,,
3299,93.1,,,,,,
3300,368.2,,,,,,
3301,304.5,,,,,,
3302,2148,1920,1080,,240,,1.8
3303,2332,1920,1080,,2,,1.8
3304,400,1920,1080,,120,,2.8
3305,114.6,,,,,,
3306,103.75,,,,,,
3307,117.7,,,,,,
3308,318.5,,,,,,
3309,53.28,,,,,,
3310,329,3840,2160,512,512,16,2.7
3311,250,3000,2000,512,512,16,2.6
3312,195.8,,,,,,
3313,89,1366,768,,128,8,2.4
3314,281.8,1280,720,,240,,2.6
3315,80,1366,768,64,,4,1.1
3316,695,1920,1080,,256,16,
3317,350,1920,1080,500,,8,2.7
3318,374.5,1280,720,,240,,
3319,380.5,,,,,,
3320,125,,,,128,2,2.16
3321,260,1920,1080,128,,,1.9
3322,11.88,,,,,,
3323,24.98,1920,1080,240,240,8,2.3
3324,119,1600,900,256,256,8,1.9
3325,49,1024,480,16,16,4,2.16
3326,539,,,512,512,16,2.8
3327,288.2,1920,1080,256,256,4,2
3328,225,,,8,128,8,2.4
3329,120,,,,,,
3330,45,1024,600,,,16,1.3
3331,86,,,32,,4,
3332,28.5,,,,,,
3333,89.94,,,500,,6,1.8
3334,1250,1920,1080,256,256,8,2.4
3335,313.5,1280,720,,240,,2.6
3336,396,1920,1080,,480,,3.1
3337,294.8,1280,720,,240,,
3338,333.5,1920,1080,,240,,2.8
3339,314.2,1280,720,,120,,2.7
3340,569,,,1,,4,1.6
3341,820,2560,1600,,1,16,2.3
3342,45,1280,800,2,32,2,
3343,307,1920,1080,,512,16,1.9
3344,200,,,500,,8,3.3
3345,364.2,,,,,,
3346,834.5,1920,1080,2,1,32,2.8
3347,450,1920,1080,512,512,32,1.9
3348,193.1,,,,,,
3349,490.8,1920,1080,,240,,2.8
3350,205.6,,,,,,
3351,171.5,,,,256,8,2.4
3352,799,1920,1200,,256,8,4.4
3353,289.2,,,24,256,24,
3354,400,1920,1080,256,256,8,2.3
3355,316.2,1920,1200,512,512,8,2.3
3356,300,,,500,,4,2
3357,230,,,,,,
3358,500,,,1,1,16,2.8
3359,60,,,,,8,2
3360,593,3840,2160,,512,16,1.8
3361,70,,,500,128,8,2.53
3362,169,,,512,512,,
3363,49,1366,768,,,4,1.6
