,Brand,Currency,Color,Condition,GPU,Processor,Processor Speed,Processor Speed Unit,Type,OS,Storage Type,Hard Drive Capacity Unit,SSD Capacity Unit,Screen Size (inch),Ram Size Unit
96,other,$,other,New,other,undefined,,unknown,other,unknown,unknown,unknown,unknown,,unknown
97,other,$,other,Good - Refurbished,intel,undefined,,unknown,other,unknown,unknown,unknown,unknown,,unknown
98,lenovo,$,other,New,other,not applicable,,unknown,other,unknown,unknown,unknown,unknown,,unknown
99,dell,$,other,Used,intel,intel core i5 4th generation,,unknown,notebook/laptop,windows,unknown,unknown,gb,14,unknown
100,other,$,other,Used,other,undefined,,unknown,other,unknown,unknown,unknown,unknown,,unknown
101,other,$,other,Used,other,undefined,,unknown,other,unknown,unknown,unknown,unknown,,unknown
102,dell,$,black,Used,intel,intel core i5 4th generation,2,GHz,notebook/laptop,windows,ssd,unknown,gb,14,gb
103,hp,$,multicolor,Used,intel,intel core 2 duo,2,GHz,notebook/laptop,linux,ssd,unknown,gb,14,gb
104,lenovo,$,black,Used,intel,8250u,1.6,GHz,other,windows,unknown,unknown,gb,14,gb
105,other,$,other,Used,other,undefined,,unknown,other,unknown,unknown,unknown,unknown,,unknown
106,lenovo,$,black,Undefined,intel,intel core i5 10th generation,1.6,GHz,notebook/laptop,windows,ssd,unknown,gb,13.3,gb
107,lenovo,$,gray,Undefined,intel,intel core i3 12th generation,1.2,GHz,notebook/laptop,windows,ssd,unknown,gb,14,gb
108,other,$,other,New,other,undefined,,unknown,other,unknown,unknown,unknown,unknown,,unknown
109,other,$,other,New,other,undefined,,unknown,other,unknown,unknown,unknown,unknown,,unknown
110,lenovo,$,other,New,other,not applicable,,unknown,other,unknown,unknown,unknown,unknown,,unknown
111,other,$,other,Used,other,undefined,,unknown,other,unknown,unknown,unknown,unknown,,unknown
112,dell,$,other,Used,intel,intel core i5 4th generation,2.6,GHz,notebook/laptop,windows,unknown,unknown,gb,14,unknown
113,other,$,other,New,other,undefined,,unknown,other,unknown,unknown,unknown,unknown,,unknown
114,dell,$,other,Used,other,"ntel,",,unknown,other,unknown,unknown,unknown,unknown,15.6,unknown
115,dell,$,other,Used,intel,intel core i5 6th generation,2.8,GHz,notebook/laptop,windows,unknown,unknown,gb,12.5,unknown
116,acer,$,silver,Used,intel,intel celeron n,1.1,GHz,notebook/laptop,windows,ssd,gb,gb,14,gb
117,other,$,other,New,other,intel celeron,,unknown,notebook/laptop,windows,ssd,gb,gb,14.1,gb
118,other,$,other,Used,other,undefined,,unknown,other,unknown,unknown,unknown,unknown,,unknown
119,dell,$,other,Used,intel,intel core m-5y71,1.2,GHz,notebook/laptop,windows,ssd,unknown,gb,11.6,gb
120,microsoft,$,silver,Undefined,intel,intel core i7 7th generation,2.5,GHz,notebook/laptop,windows,ssd,gb,gb,13.5,gb
121,hp,$,silver,New,intel,intel core i5 11th generation,2.4,GHz,notebook/laptop,windows,ssd,gb,gb,15.6,gb
122,other,$,other,Used,other,undefined,,unknown,other,unknown,unknown,unknown,unknown,,unknown
123,other,$,other,New,other,undefined,,unknown,other,unknown,unknown,unknown,unknown,,unknown
124,other,$,other,Used,intel,intel core i5 6th generation,3,GHz,notebook/laptop,windows,ssd,unknown,gb,13.3,unknown
125,other,$,other,Used,intel,undefined,,unknown,other,unknown,unknown,unknown,unknown,,unknown
126,other,$,other,Used,other,undefined,,unknown,other,unknown,unknown,unknown,unknown,,unknown
127,other,$,other,Used,other,intel core i3 2330m,,unknown,other,unknown,unknown,unknown,unknown,15.6,unknown
128,dell,$,black,Used,other,intel core 2 duo,2,GHz,notebook/laptop,windows,hdd/ssd,gb,unknown,15.4,gb
129,other,$,other,New,other,undefined,,unknown,other,unknown,unknown,unknown,unknown,,unknown
130,other,$,other,Undefined,other,undefined,,unknown,other,unknown,unknown,unknown,unknown,,unknown
131,other,$,other,Used,other,undefined,,unknown,other,unknown,unknown,unknown,unknown,,unknown
132,lenovo,$,black,Undefined,other,amd ryzen 5,2.1,GHz,other,windows,ssd,gb,gb,15.6,gb
133,other,$,black,Seller refurbished,intel,undefined,,unknown,other,unknown,unknown,unknown,unknown,,unknown
134,other,$,other,Used,intel,intel core i5 6th generation,3,GHz,notebook/laptop,windows,ssd,unknown,gb,13.3,unknown
135,hp,$,silver,Undefined,intel,intel pentium,1.1,GHz,notebook/laptop,chrome,ssd,gb,gb,14,gb
136,hp,$,other,Undefined,other,undefined,,unknown,notebook/laptop,windows,ssd,gb,gb,13,gb
137,lenovo,$,other,Undefined,intel,intel core i7 13th generation,1.7,GHz,notebook/laptop,windows,ssd,unknown,gb,14,gb
138,dell,$,other,Used,other,intel,,unknown,notebook/laptop,unknown,unknown,unknown,unknown,15.6,unknown
139,other,$,other,New,other,undefined,,unknown,other,unknown,unknown,unknown,unknown,,unknown
140,other,$,other,New,other,undefined,,unknown,other,unknown,unknown,unknown,unknown,,unknown
141,other,$,other,Used,intel,undefined,,unknown,other,unknown,unknown,unknown,unknown,,unknown
142,lenovo,$,other,Used,intel,intel core i5 3rd generation,3,GHz,notebook/laptop,windows,hdd/ssd,gb,gb,14,unknown
143,other,$,black,Seller refurbished,intel,undefined,,unknown,other,unknown,unknown,unknown,unknown,,unknown
144,dell,$,other,Used,intel,intel core i5 6th generation,2.8,GHz,notebook/laptop,windows,unknown,unknown,gb,12.5,unknown
145,other,$,black,Seller refurbished,nvidia,undefined,,unknown,other,unknown,unknown,unknown,unknown,,unknown
146,other,$,other,Used,other,undefined,,unknown,other,unknown,unknown,unknown,unknown,,unknown
147,other,$,other,Seller refurbished,intel,undefined,,unknown,other,unknown,unknown,unknown,unknown,,unknown
148,other,$,other,Seller refurbished,intel,undefined,,unknown,other,unknown,unknown,unknown,unknown,,unknown
149,other,$,other,Used,intel,undefined,,unknown,other,unknown,unknown,unknown,unknown,,unknown
150,other,$,other,Seller refurbished,intel,undefined,,unknown,other,unknown,unknown,unknown,unknown,,unknown
151,other,$,other,Used,intel,undefined,,unknown,other,unknown,unknown,unknown,unknown,,unknown
152,auo,$,other,New,other,not applicable,,unknown,other,unknown,unknown,unknown,unknown,,unknown
153,other,$,other,For parts or not working,other,undefined,,unknown,other,unknown,unknown,unknown,unknown,,unknown
154,other,$,other,Used,other,intel i5,2.5,GHz,notebook/laptop,unknown,unknown,unknown,unknown,,gb
155,other,$,other,New,other,undefined,,unknown,other,unknown,unknown,unknown,unknown,,unknown
156,other,$,other,Excellent - Refurbished,intel,undefined,,unknown,other,unknown,unknown,unknown,unknown,,unknown
157,other,$,black,Seller refurbished,intel,undefined,,unknown,other,unknown,unknown,unknown,unknown,,unknown
158,other,$,other,Used,intel,intel core i3 4th generation,3,GHz,notebook/laptop,windows,ssd,unknown,gb,13.3,unknown
159,dell,$,other,Used,intel,intel core i5-2520m,2.5,GHz,notebook/laptop,unknown,hdd/ssd,gb,unknown,14,gb
160,dell,$,black,Used,intel,intel core i5 6th generation,2.8,GHz,notebook/laptop,windows,unknown,unknown,gb,12.5,unknown
161,other,$,other,Seller refurbished,intel,undefined,,unknown,other,unknown,unknown,unknown,unknown,,unknown
162,other,$,other,New,other,undefined,,unknown,other,unknown,unknown,unknown,unknown,,unknown
163,dell,$,black,Used,intel,intel core i5 4th generation,2.6,GHz,notebook/laptop,windows,unknown,unknown,gb,14,unknown
164,other,$,other,New,other,undefined,,unknown,other,unknown,unknown,unknown,unknown,,unknown
165,other,$,other,New,other,undefined,,unknown,other,unknown,unknown,unknown,unknown,,unknown
166,other,$,other,Seller refurbished,intel,undefined,,unknown,other,unknown,unknown,unknown,unknown,,unknown
167,other,$,other,Used,other,undefined,,unknown,other,unknown,unknown,unknown,unknown,,unknown
168,other,$,other,Used,intel,undefined,,unknown,other,unknown,unknown,unknown,unknown,,unknown
169,dell,$,black,Used,intel,intel core i5 6th generation,2.3,GHz,notebook/laptop,windows,ssd,unknown,gb,12.5,unknown
170,other,$,other,Seller refurbished,intel,undefined,,unknown,other,unknown,unknown,unknown,unknown,,unknown
171,other,$,other,New,other,undefined,,unknown,other,unknown,unknown,unknown,unknown,,unknown
172,other,$,black,Used,intel,undefined,,unknown,other,unknown,unknown,unknown,unknown,,unknown
173,other,$,other,Excellent - Refurbished,intel,undefined,,unknown,other,unknown,unknown,unknown,unknown,,unknown
174,other,$,other,Seller refurbished,intel,undefined,,unknown,other,unknown,unknown,unknown,unknown,,unknown
175,other,$,other,Used,intel,undefined,,unknown,other,unknown,unknown,unknown,unknown,,unknown
176,other,$,black,Seller refurbished,intel,undefined,,unknown,other,unknown,unknown,unknown,unknown,,unknown
177,lg,$,other,New,other,not applicable,,unknown,other,unknown,unknown,unknown,unknown,,unknown
178,other,$,other,New,other,undefined,,unknown,other,unknown,unknown,unknown,unknown,,unknown
179,other,$,other,New,other,undefined,,unknown,other,unknown,unknown,unknown,unknown,,unknown
180,other,$,other,Used,intel,undefined,,unknown,other,unknown,unknown,unknown,unknown,,unknown
181,other,$,other,Used,intel,undefined,,unknown,other,unknown,unknown,unknown,unknown,,unknown
182,other,$,other,New,other,undefined,,unknown,other,unknown,unknown,unknown,unknown,,unknown
183,other,$,other,New,other,undefined,,unknown,other,unknown,unknown,unknown,unknown,,unknown
184,other,$,other,New,other,undefined,,unknown,other,unknown,unknown,unknown,unknown,,unknown
185,other,$,other,New,other,undefined,,unknown,other,unknown,unknown,unknown,unknown,,unknown
186,other,$,other,New,other,undefined,,unknown,other,unknown,unknown,unknown,unknown,,unknown
187,lg,$,other,New,other,not applicable,,unknown,other,unknown,unknown,unknown,unknown,,unknown
188,other,$,other,New,other,undefined,,unknown,other,unknown,unknown,unknown,unknown,,unknown
189,other,$,other,New,other,not applicable,,unknown,other,unknown,unknown,unknown,unknown,,unknown
190,other,$,other,New,other,undefined,,unknown,other,unknown,unknown,unknown,unknown,,unknown
191,other,$,other,New,other,undefined,,unknown,other,unknown,unknown,unknown,unknown,,unknown
192,dell,$,silver,Used,intel,intel core i5 4th generation,2.7,GHz,notebook/laptop,windows,hdd/ssd,gb,unknown,14,gb
193,other,$,other,New,other,undefined,,unknown,other,unknown,unknown,unknown,unknown,,unknown
194,lenovo,$,other,Seller refurbished,intel,intel core i3 7th generation,3,GHz,notebook/laptop,windows,ssd,unknown,gb,13.3,unknown
195,other,$,other,Seller refurbished,intel,undefined,,unknown,other,unknown,unknown,unknown,unknown,,unknown
196,other,$,other,Used,other,undefined,,unknown,other,unknown,unknown,unknown,unknown,,unknown
197,dell,$,other,Used,intel,intel core i5 4th generation,2.6,GHz,notebook/laptop,windows,unknown,unknown,gb,14,unknown
198,dell,$,other,Used,other,intel i5-5300u,2.3,GHz,other,windows,unknown,unknown,unknown,1435,gb
199,dell,$,black,Used,intel,8365u,1.6,GHz,other,windows,unknown,unknown,gb,14,gb
200,lenovo,$,other,Seller refurbished,intel,intel core i5 6th generation,3,GHz,notebook/laptop,windows,ssd,unknown,gb,14,unknown
201,other,$,black,Seller refurbished,nvidia,undefined,,unknown,other,unknown,unknown,unknown,unknown,,unknown
202,other,$,other,Used,intel,intel core i3 6th generation,3,GHz,notebook/laptop,windows,ssd,unknown,gb,13.3,unknown
203,other,$,other,New,other,undefined,,unknown,other,unknown,unknown,unknown,unknown,,unknown
204,other,$,other,Used,intel,undefined,,unknown,other,unknown,unknown,unknown,unknown,,unknown
205,other,$,other,New,other,undefined,,unknown,other,unknown,unknown,unknown,unknown,,unknown
206,acer,$,other,New,other,not applicable,,unknown,other,unknown,unknown,unknown,unknown,,unknown
207,other,$,black,Seller refurbished,intel,undefined,,unknown,other,unknown,unknown,unknown,unknown,,unknown
208,other,$,other,Undefined,other,undefined,,unknown,other,unknown,unknown,unknown,unknown,,unknown
209,other,$,other,Seller refurbished,intel,undefined,,unknown,other,unknown,unknown,unknown,unknown,,unknown
210,other,$,other,New,other,undefined,,unknown,other,unknown,unknown,unknown,unknown,,unknown
211,other,$,other,Used,intel,undefined,,unknown,other,unknown,unknown,unknown,unknown,,unknown
212,other,$,black,Undefined,other,undefined,,unknown,other,unknown,unknown,unknown,unknown,,unknown
213,other,$,other,Seller refurbished,intel,undefined,,unknown,other,unknown,unknown,unknown,unknown,,unknown
214,other,$,other,Seller refurbished,intel,undefined,,unknown,other,unknown,unknown,unknown,unknown,,unknown
215,other,$,other,Used,intel,undefined,,unknown,other,unknown,unknown,unknown,unknown,,unknown
216,other,$,other,Used,intel,undefined,,unknown,other,unknown,unknown,unknown,unknown,,unknown
217,other,$,other,Used,intel,undefined,,unknown,other,unknown,unknown,unknown,unknown,,unknown
