BRAND,COLOR,CONDITIONS,PRICE
other,other,Used,314.0
other,other,Very Good - Refurbished,283.8
other,other,New,47.47
lenovo,black,Used,510.0
other,other,New,406.0
other,other,Used,238.4
other,other,Seller refurbished,355.2
other,other,New,163.1
lenovo,other,Used,576.5
other,other,Excellent - Refurbished,588.0
other,other,Undefined,64.6
asus,other,New,141.9
dell,other,Used,493.5
lg,other,New,99.75
other,other,New,51.06
other,other,New,70.6
dell,other,Used,352.5
other,black,Seller refurbished,369.5
dell,black,Used,290.5
other,other,New,81.44
dell,other,Used,488.0
dell,silver,Used,260.0
hp,black,Used,40.0
hp,other,Used,200.0
other,other,New,2372.0
dell,silver,New,300.0
other,black,New,2378.0
lenovo,blue,Undefined,270.0
lenovo,black,Very Good - Refurbished,450.0
dell,silver,Used,190.0
dell,black,Excellent - Refurbished,350.0
dell,black,Used,180.0
dell,black,Used,400.0
hp,black,For parts or not working,87.1
hp,multicolor,Used,45.0
dell,black,Used,89.0
dell,other,Good - Refurbished,124.0
dell,black,New,599.0
lenovo,other,Used,75.0
microsoft,multicolor,Open box,599.0
other,grey,Used,65.0
asus,black,Used,70.0
samsung,silver,Undefined,48.0
hp,silver,Used,525.0
lenovo,gray,Used,44.0
other,other,Good - Refurbished,439.0
lg,gray,Undefined,589.0
other,black,Undefined,370.0
lg,other,Used,375.0
lenovo,black,Used,139.0
other,other,Used,136.0
lenovo,blue,Certified - Refurbished,350.0
lenovo,black,Used,51.0
lenovo,other,Used,100.0
hp,black,New,1149.0
other,silver,Used,384.8
dell,pink,Used,159.8
hp,gray,Undefined,100.0
other,other,Used,158.0
other,other,Excellent - Refurbished,402.2
other,other,New,195.4
samsung,other,Undefined,117.0
lenovo,other,Seller refurbished,527.0
other,black,Seller refurbished,577.5
dell,other,Used,335.5
other,other,Undefined,97.75
dell,other,Used,539.0
other,other,New,41.88
other,black,Used,420.5
lenovo,other,Used,520.5
dell,black,For parts or not working,97.2
auo,other,New,74.75
other,other,Used,1090.0
other,other,New,111.4
lenovo,other,Seller refurbished,341.0
other,other,Undefined,127.75
other,black,Seller refurbished,2146.0
dell,black,For parts or not working,97.2
other,other,New,128.6
other,other,New,510.2
samsung,other,New,117.0
other,other,Used,442.2
other,other,Seller refurbished,463.2
auo,other,New,131.9
other,black,Used,580.0
lenovo,other,Used,405.0
other,other,New,100.3
other,other,Undefined,128.6
other,other,Undefined,80.5
lenovo,black,Used,673.5
other,other,New,159.2
lg,other,New,92.94
other,other,New,36.9
other,other,Used,508.5
other,black,Seller refurbished,316.2
other,other,Used,10.85
other,other,Used,18.11
lenovo,other,Good - Refurbished,120.3
dell,other,Used,422.8
other,gray,Used,323.2
microsoft,other,Seller refurbished,1044.0
other,other,New,361.2
other,other,Seller refurbished,808.5
other,other,New,91.0
other,other,New,129.0
auo,other,New,69.6
other,black,Undefined,319.0
other,other,For parts or not working,21.7
other,black,Seller refurbished,291.2
samsung,other,New,103.44
lg,other,New,92.5
hp,other,New,91.44
dell,black,Used,366.8
other,other,Excellent - Refurbished,395.0
other,other,New,134.6
other,black,Seller refurbished,375.8
other,black,Seller refurbished,197.2
other,black,Seller refurbished,339.0
dell,black,Used,371.0
other,other,Seller refurbished,733.0
lenovo,other,Used,565.0
other,other,New,69.44
other,other,Undefined,92.0
dell,other,Used,296.2
other,other,New,109.25
dell,other,Used,604.5
other,other,New,3098.0
other,other,New,116.06
other,other,New,46.53
other,other,Seller refurbished,1128.0
other,other,Seller refurbished,2182.0
samsung,other,New,94.9
other,other,New,111.94
other,black,New,2574.0
dell,other,New,105.0
other,other,Used,376.2
dell,black,Used,1121.0
other,other,New,52.75
other,other,New,135.4
other,other,Used,510.0
other,other,Undefined,133.2
other,other,Used,369.5
other,other,Used,364.0
other,other,New,107.8
other,other,Seller refurbished,209.8
other,other,New,127.8
other,other,New,129.8
other,other,For parts or not working,21.88
other,other,Used,327.0
other,other,Used,419.2
other,gray,Used,332.2
other,other,New,87.0
other,other,New,37.88
dell,other,Used,293.0
other,other,Undefined,285.2
auo,other,New,113.0
samsung,other,New,137.9
other,other,Seller refurbished,536.5
other,other,Seller refurbished,540.5
other,other,New,44.8
asus,other,New,107.0
hp,other,New,60.84
other,other,New,104.75
dell,other,Seller refurbished,346.5
other,other,Good - Refurbished,334.8
dell,other,Used,405.2
samsung,other,New,91.56
samsung,other,New,113.9
other,other,New,112.3
dell,other,Used,334.8
other,other,Good - Refurbished,340.2
other,other,Used,450.2
other,other,Used,1737.0
other,other,New,263.8
dell,other,Seller refurbished,469.5
dell,other,Used,410.8
auo,other,New,95.4
other,other,Seller refurbished,411.0
other,other,Used,322.0
lenovo,other,Seller refurbished,420.8
other,other,New,92.5
lenovo,multicolor,Used,665.0
other,other,New,77.06
other,other,Used,588.5
other,black,Used,827.0
dell,black,Used,1047.0
other,other,New,190.6
dell,black,Used,815.0
other,other,New,134.5
dell,other,Used,320.2
other,black,Seller refurbished,182.6
other,other,Seller refurbished,772.0
other,other,Seller refurbished,577.5
other,other,Seller refurbished,507.8
other,other,Seller refurbished,526.5
lenovo,other,Used,490.0
other,other,Used,377.8
other,other,Used,411.5
other,other,Seller refurbished,841.5
other,other,Used,29.3
other,other,New,374.8
lg,other,New,92.6
other,other,Undefined,141.9
other,other,Used,646.5
other,other,New,472.5
hp,other,New,91.0
lg,other,New,70.5
dell,other,Used,362.5
other,other,New,103.25
other,other,Seller refurbished,2326.0
other,other,New,160.4
other,other,Used,10.9
lenovo,other,Used,489.0
other,black,Seller refurbished,275.5
dell,other,Used,432.5
other,other,Used,456.2
other,other,Undefined,103.56
dell,other,Used,335.8
other,other,Undefined,164.4
auo,other,New,91.9
auo,other,New,91.3
dell,black,Used,424.8
other,other,New,316.0
dell,other,Used,423.5
other,other,Good - Refurbished,234.0
other,other,Used,753.5
other,black,Seller refurbished,2096.0
lenovo,other,Used,377.8
other,other,Used,419.8
other,other,Used,401.0
dell,other,Used,320.2
other,other,Used,371.0
dell,other,Used,442.5
other,other,Used,365.0
lg,other,New,97.06
other,other,New,101.9
samsung,other,New,112.8
other,other,New,95.25
other,other,Used,508.5
dell,other,For parts or not working,67.3
other,other,For parts or not working,33.5
other,other,New,78.9
dell,other,Used,422.8
lg,other,New,125.06
other,black,Seller refurbished,232.2
other,other,Used,215.9
other,other,Seller refurbished,457.2
other,other,Undefined,128.5
other,other,Used,640.5
other,other,Undefined,45.28
other,other,Used,21.7
other,other,New,127.94
other,other,For parts or not working,236.0
other,other,Certified - Refurbished,511.5
dell,other,Used,510.0
other,other,Used,279.0
other,other,New,3356.0
other,other,Seller refurbished,1019.5
acer,other,New,81.2
lg,other,New,110.8
other,other,Seller refurbished,2680.0
dell,other,Seller refurbished,1363.0
other,other,Seller refurbished,2326.0
dell,black,Used,106.25
other,other,New,131.0
auo,other,New,60.84
dell,other,Used,182.6
other,other,New,117.3
auo,other,New,99.5
asus,other,For parts or not working,22.22
other,other,Used,302.2
lenovo,other,Used,340.8
samsung,other,New,91.7
other,other,New,162.6
other,other,Undefined,59.4
other,other,Good - Refurbished,322.0
dell,other,Used,539.0
lg,other,New,95.94
dell,other,Seller refurbished,373.8
other,other,New,124.1
other,other,New,97.5
other,other,New,84.1
other,other,New,67.06
other,other,Used,330.5
other,other,Used,711.0
other,other,New,35.2
other,other,Used,341.8
lg,other,New,90.2
other,other,New,28.44
other,other,New,92.7
other,other,New,50.75
dell,other,Used,470.5
dell,other,Used,280.0
other,other,Used,262.2
lenovo,other,Used,650.5
other,other,Seller refurbished,568.0
other,other,New,99.0
other,other,Used,863.5
dell,other,Used,331.0
other,other,New,232.1
other,black,Seller refurbished,266.2
other,other,New,47.1
other,other,Very Good - Refurbished,425.2
auo,other,New,81.6
other,other,Seller refurbished,932.5
other,other,Used,135.8
other,other,Seller refurbished,1002.5
lenovo,other,Used,533.5
dell,other,Used,303.8
other,other,Good - Refurbished,273.5
other,other,Seller refurbished,245.5
lenovo,black,Used,743.0
other,other,Used,280.2
other,other,Seller refurbished,724.5
other,other,New,151.9
other,black,Seller refurbished,463.5
other,other,Used,391.5
other,other,Seller refurbished,264.2
other,other,New,93.0
lenovo,gray,Used,726.0
other,other,New,59.28
other,other,New,90.06
other,other,Used,413.2
other,other,Seller refurbished,571.5
other,other,Seller refurbished,921.0
other,other,Seller refurbished,531.0
other,other,Seller refurbished,432.2
other,other,New,134.5
dell,black,Used,442.0
other,black,New,2280.0
